id;x_mm;y_mm;diameter_or_w_mm;h_mm;layer_depth_mm
card_fan;1065;420;900;570;90-125
C1;350;365;145;145;55-85
C2;425;650;145;145;55-85
C3;350;980;145;145;55-85
C4;365;1350;145;145;55-85
C5;1780;365;145;145;55-85
C6;1705;650;145;145;55-85
C7;1780;980;145;145;55-85
C8;1765;1350;145;145;55-85
T1;360;515;85;85;55-85
T2;420;810;85;85;55-85
T3;370;1165;85;85;55-85
T4;300;1510;85;85;55-85
T5;1770;515;85;85;55-85
T6;1710;810;85;85;55-85
T7;1760;1165;85;85;55-85
T8;1830;1510;85;85;55-85
T9;620;1280;85;85;55-85
T10;1510;1280;85;85;55-85
T11;760;575;85;85;55-85
T12;1370;575;85;85;55-85
